,Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,ema_short,ema_long,transition,velas_posteriores,price_entry_long,price_entry_short,entrys,entry_dates_candle,static_tp,static_sl,static_tp_confirm,static_sl_confirm,static_tp_percent,static_sl_percent,date_tp_sl,dif_percent_long_to_tp,dif_percent_long_to_sl,dif_percent_short_to_tp,dif_percent_short_to_sl
7617,2025-01-02 10:45:00,3469.0,3469.0,3458.55,3462.93,12860.177,2025-01-02 10:49:59.999000-03:00,44525050.04357,17818,4592.739,15902556.06337,0,3468.618854384129,3463.0746440896605,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7618,2025-01-02 10:50:00,3462.93,3464.8,3460.5,3461.82,5424.515,2025-01-02 10:54:59.999000-03:00,18782649.42168,11240,2626.772,9095439.988,0,3467.38269904156,3463.025442360654,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7619,2025-01-02 10:55:00,3461.82,3466.45,3460.57,3465.31,5109.159,2025-01-02 10:59:59.999000-03:00,17699611.61453,9419,3068.691,10631152.87369,0,3467.005844670367,3463.115032856315,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7620,2025-01-02 11:00:00,3465.31,3466.81,3439.57,3442.68,50283.396,2025-01-02 11:04:59.999000-03:00,173569910.47214,49045,19148.094,66106855.29486,0,3462.582963821209,3462.3136590188124,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7621,2025-01-02 11:05:00,3442.69,3458.5,3442.52,3457.81,23979.748,2025-01-02 11:09:59.999000-03:00,82754129.93147,32487,12700.781,43823577.0371,0,3461.7151522173526,3462.137044939643,transition_short,5,,3487.123,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7622,2025-01-02 11:10:00,3457.81,3458.81,3453.27,3458.35,7673.676,2025-01-02 11:14:59.999000-03:00,26525895.17391,14459,3784.654,13082542.42793,0,3461.103306359652,3461.988533373383,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7623,2025-01-02 11:15:00,3458.35,3461.98,3448.55,3449.81,9906.214,2025-01-02 11:19:59.999000-03:00,34231385.45579,17179,4675.92,16163435.49736,0,3459.049977930624,3461.510943829329,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7624,2025-01-02 11:20:00,3449.8,3456.52,3448.0,3455.3,5094.402,2025-01-02 11:24:59.999000-03:00,17585697.5907,12113,2557.949,8830429.5936,0,3458.36816376142,3461.2673774046493,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7625,2025-01-02 11:25:00,3455.31,3463.7,3455.31,3462.36,9393.014,2025-01-02 11:29:59.999000-03:00,32506132.01115,16110,3916.817,13554686.0034,0,3459.0939521684345,3461.3102253495654,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7626,2025-01-02 11:30:00,3462.36,3511.14,3459.06,3479.66,99049.13,2025-01-02 11:34:59.999000-03:00,345582966.66766,100616,62369.796,217626906.88194,0,3462.833233592355,3462.029824355465,transition_long,17,3488.9,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
